,precision,recall,f1-score,support
apple,1.0,1.0,1.0,20.0
banana,1.0,1.0,1.0,20.0
blackgram,1.0,1.0,1.0,20.0
chickpea,1.0,1.0,1.0,20.0
coconut,1.0,1.0,1.0,20.0
coffee,1.0,1.0,1.0,20.0
cotton,1.0,1.0,1.0,20.0
grapes,1.0,1.0,1.0,20.0
jute,0.9090909090909091,1.0,0.9523809523809523,20.0
kidneybeans,1.0,1.0,1.0,20.0
lentil,1.0,1.0,1.0,20.0
maize,1.0,1.0,1.0,20.0
mango,1.0,1.0,1.0,20.0
mothbeans,1.0,1.0,1.0,20.0
mungbean,1.0,1.0,1.0,20.0
muskmelon,1.0,1.0,1.0,20.0
orange,1.0,1.0,1.0,20.0
papaya,1.0,1.0,1.0,20.0
pigeonpeas,1.0,1.0,1.0,20.0
pomegranate,1.0,1.0,1.0,20.0
rice,1.0,0.9,0.9473684210526315,20.0
watermelon,1.0,1.0,1.0,20.0
accuracy,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.9954545454545455
macro avg,0.9958677685950413,0.9954545454545454,0.9954431533378901,440.0
weighted avg,0.9958677685950413,0.9954545454545455,0.9954431533378901,440.0
